model,datetime,dataset,weight_file,epoch,train_loss,train_bce,train_pull,train_push,val_loss,val_bce,val_pull,val_push
novel,20260505_231050,faceforensics++,novel_20260505_231050.pth,1,0.7168,0.7168,0.0186,0.4508,0.7172,0.7172,0.0187,0.4522
novel,20260505_231050,faceforensics++,novel_20260505_231050.pth,2,0.7168,0.7168,0.0186,0.4509,0.7172,0.7172,0.0187,0.4522
novel,20260505_231050,faceforensics++,novel_20260505_231050.pth,3,0.7168,0.7168,0.0186,0.4508,0.7172,0.7172,0.0187,0.4522
novel,20260505_231050,faceforensics++,novel_20260505_231050.pth,4,0.0286,0.0280,0.0045,0.0013,0.0189,0.0183,0.0033,0.0026
novel,20260505_231050,faceforensics++,novel_20260505_231050.pth,5,0.0106,0.0104,0.0016,0.0007,0.0066,0.0065,0.0012,0.0003
novel,20260505_231050,faceforensics++,novel_20260505_231050.pth,6,0.0080,0.0078,0.0014,0.0006,0.0041,0.0040,0.0007,0.0002
novel,20260505_231050,faceforensics++,novel_20260505_231050.pth,7,0.0067,0.0065,0.0010,0.0008,0.0045,0.0044,0.0006,0.0005
novel,20260505_231050,faceforensics++,novel_20260505_231050.pth,8,0.0055,0.0054,0.0009,0.0005,0.0021,0.0020,0.0007,0.0000
novel,20260505_231050,faceforensics++,novel_20260505_231050.pth,9,0.0041,0.0040,0.0008,0.0004,0.0011,0.0011,0.0002,0.0002
novel,20260505_231050,faceforensics++,novel_20260505_231050.pth,10,0.0038,0.0037,0.0007,0.0002,0.0040,0.0039,0.0006,0.0002
