model,datetime,dataset,weight_file,epoch,loss
baseline,20260426_140336,faceforensics++,baseline_20260426_140336.pth,1,0.1367
baseline,20260426_140336,faceforensics++,baseline_20260426_140336.pth,2,0.0576
baseline,20260426_140336,faceforensics++,baseline_20260426_140336.pth,3,0.0410
baseline,20260426_140336,faceforensics++,baseline_20260426_140336.pth,4,0.0311
baseline,20260426_140336,faceforensics++,baseline_20260426_140336.pth,5,0.0256
baseline,20260426_140336,faceforensics++,baseline_20260426_140336.pth,6,0.0211
baseline,20260426_140336,faceforensics++,baseline_20260426_140336.pth,7,0.0188
baseline,20260426_140336,faceforensics++,baseline_20260426_140336.pth,8,0.0172
baseline,20260426_140336,faceforensics++,baseline_20260426_140336.pth,9,0.0157
baseline,20260426_140336,faceforensics++,baseline_20260426_140336.pth,10,0.0144
baseline,20260426_140336,faceforensics++,baseline_20260426_140336.pth,11,0.0136
baseline,20260426_140336,faceforensics++,baseline_20260426_140336.pth,12,0.0129
baseline,20260426_140336,faceforensics++,baseline_20260426_140336.pth,13,0.0115
baseline,20260426_140336,faceforensics++,baseline_20260426_140336.pth,14,0.0120
baseline,20260426_140336,faceforensics++,baseline_20260426_140336.pth,15,0.0106
baseline,20260426_140336,faceforensics++,baseline_20260426_140336.pth,16,0.0102
baseline,20260426_140336,faceforensics++,baseline_20260426_140336.pth,17,0.0096
baseline,20260426_140336,faceforensics++,baseline_20260426_140336.pth,18,0.0091
baseline,20260426_140336,faceforensics++,baseline_20260426_140336.pth,19,0.0090
baseline,20260426_140336,faceforensics++,baseline_20260426_140336.pth,20,0.0086
baseline,20260426_140336,faceforensics++,baseline_20260426_140336.pth,21,0.0083
baseline,20260426_140336,faceforensics++,baseline_20260426_140336.pth,22,0.0081
baseline,20260426_140336,faceforensics++,baseline_20260426_140336.pth,23,0.0075
baseline,20260426_140336,faceforensics++,baseline_20260426_140336.pth,24,0.0074
baseline,20260426_140336,faceforensics++,baseline_20260426_140336.pth,25,0.0069
baseline,20260426_140336,faceforensics++,baseline_20260426_140336.pth,26,0.0066
baseline,20260426_140336,faceforensics++,baseline_20260426_140336.pth,27,0.0065
baseline,20260426_140336,faceforensics++,baseline_20260426_140336.pth,28,0.0060
baseline,20260426_140336,faceforensics++,baseline_20260426_140336.pth,29,0.0060
baseline,20260426_140336,faceforensics++,baseline_20260426_140336.pth,30,0.0059
baseline,20260426_140336,faceforensics++,baseline_20260426_140336.pth,31,0.0054
