model,datetime,dataset,weight_file,epoch,loss
baseline,20260412_133413,UADFA,baseline_20260412_133413.pth,1,0.6610
baseline,20260412_133413,UADFA,baseline_20260412_133413.pth,2,0.0722
baseline,20260412_133413,UADFA,baseline_20260412_133413.pth,3,0.0180
baseline,20260412_133413,UADFA,baseline_20260412_133413.pth,4,0.0111
baseline,20260412_133413,UADFA,baseline_20260412_133413.pth,5,0.0109
baseline,20260412_133413,UADFA,baseline_20260412_133413.pth,6,0.0074
baseline,20260412_133413,UADFA,baseline_20260412_133413.pth,7,0.0060
baseline,20260412_133413,UADFA,baseline_20260412_133413.pth,8,0.0048
baseline,20260412_133413,UADFA,baseline_20260412_133413.pth,9,0.0063
baseline,20260412_133413,UADFA,baseline_20260412_133413.pth,10,0.0518
baseline,20260412_133413,UADFA,baseline_20260412_133413.pth,11,0.0052
baseline,20260412_133413,UADFA,baseline_20260412_133413.pth,12,0.0041
baseline,20260412_133413,UADFA,baseline_20260412_133413.pth,13,0.0037
baseline,20260412_133413,UADFA,baseline_20260412_133413.pth,14,0.0033
baseline,20260412_133413,UADFA,baseline_20260412_133413.pth,15,0.0030
baseline,20260412_133413,UADFA,baseline_20260412_133413.pth,16,0.0028
baseline,20260412_133413,UADFA,baseline_20260412_133413.pth,17,0.0026
baseline,20260412_133413,UADFA,baseline_20260412_133413.pth,18,0.0026
baseline,20260412_133413,UADFA,baseline_20260412_133413.pth,19,0.0023
baseline,20260412_133413,UADFA,baseline_20260412_133413.pth,20,0.0021
baseline,20260412_133413,UADFA,baseline_20260412_133413.pth,21,0.0020
baseline,20260412_133413,UADFA,baseline_20260412_133413.pth,22,0.0019
baseline,20260412_133413,UADFA,baseline_20260412_133413.pth,23,0.0017
baseline,20260412_133413,UADFA,baseline_20260412_133413.pth,24,0.0016
baseline,20260412_133413,UADFA,baseline_20260412_133413.pth,25,0.0016
baseline,20260412_133413,UADFA,baseline_20260412_133413.pth,26,0.0015
baseline,20260412_133413,UADFA,baseline_20260412_133413.pth,27,0.0015
baseline,20260412_133413,UADFA,baseline_20260412_133413.pth,28,0.0015
baseline,20260412_133413,UADFA,baseline_20260412_133413.pth,29,0.0013
baseline,20260412_133413,UADFA,baseline_20260412_133413.pth,30,0.0012
baseline,20260412_133413,UADFA,baseline_20260412_133413.pth,31,0.0013
baseline,20260412_133413,UADFA,baseline_20260412_133413.pth,32,0.0012
baseline,20260412_133413,UADFA,baseline_20260412_133413.pth,33,0.0011
baseline,20260412_133413,UADFA,baseline_20260412_133413.pth,34,0.0011
baseline,20260412_133413,UADFA,baseline_20260412_133413.pth,35,0.0010
baseline,20260412_133413,UADFA,baseline_20260412_133413.pth,36,0.0009
baseline,20260412_133413,UADFA,baseline_20260412_133413.pth,37,0.0009
baseline,20260412_133413,UADFA,baseline_20260412_133413.pth,38,0.0009
baseline,20260412_133413,UADFA,baseline_20260412_133413.pth,39,0.0009
baseline,20260412_133413,UADFA,baseline_20260412_133413.pth,40,0.0008
baseline,20260412_133413,UADFA,baseline_20260412_133413.pth,41,0.0008
baseline,20260412_133413,UADFA,baseline_20260412_133413.pth,42,0.0007
baseline,20260412_133413,UADFA,baseline_20260412_133413.pth,43,0.0007
baseline,20260412_133413,UADFA,baseline_20260412_133413.pth,44,0.0007
baseline,20260412_133413,UADFA,baseline_20260412_133413.pth,45,0.0007
baseline,20260412_133413,UADFA,baseline_20260412_133413.pth,46,0.0007
baseline,20260412_133413,UADFA,baseline_20260412_133413.pth,47,0.0007
baseline,20260412_133413,UADFA,baseline_20260412_133413.pth,48,0.0006
baseline,20260412_133413,UADFA,baseline_20260412_133413.pth,49,0.0006
baseline,20260412_133413,UADFA,baseline_20260412_133413.pth,50,0.0006
