model,datetime,dataset,weight_file,epoch,train_loss,train_bce,train_pull,train_push,val_loss,val_bce,val_pull,val_push
novel,20260516_025834,faceforensics++,novel_20260516_025834.pth,1,0.9008,0.9008,0.0180,0.5109,0.9024,0.9024,0.0181,0.5105
novel,20260516_025834,faceforensics++,novel_20260516_025834.pth,2,0.9008,0.9008,0.0180,0.5109,0.9024,0.9024,0.0181,0.5105
novel,20260516_025834,faceforensics++,novel_20260516_025834.pth,3,0.9008,0.9008,0.0180,0.5109,0.9024,0.9024,0.0181,0.5105
novel,20260516_025834,faceforensics++,novel_20260516_025834.pth,4,0.0239,0.0233,0.0046,0.0015,0.0029,0.0028,0.0008,0.0001
novel,20260516_025834,faceforensics++,novel_20260516_025834.pth,5,0.0027,0.0026,0.0007,0.0004,0.0030,0.0029,0.0008,0.0003
novel,20260516_025834,faceforensics++,novel_20260516_025834.pth,6,0.0017,0.0017,0.0005,0.0001,0.0009,0.0008,0.0003,0.0000
novel,20260516_025834,faceforensics++,novel_20260516_025834.pth,7,0.0016,0.0016,0.0004,0.0002,0.0012,0.0011,0.0002,0.0002
novel,20260516_025834,faceforensics++,novel_20260516_025834.pth,8,0.0012,0.0012,0.0003,0.0002,0.0009,0.0009,0.0001,0.0001
novel,20260516_025834,faceforensics++,novel_20260516_025834.pth,9,0.0010,0.0010,0.0003,0.0001,0.0023,0.0022,0.0003,0.0001
novel,20260516_025834,faceforensics++,novel_20260516_025834.pth,10,0.0009,0.0008,0.0002,0.0001,0.0015,0.0015,0.0001,0.0003
novel,20260516_025834,faceforensics++,novel_20260516_025834.pth,11,0.0007,0.0007,0.0002,0.0000,0.0014,0.0013,0.0001,0.0003
novel,20260516_025834,faceforensics++,novel_20260516_025834.pth,12,0.0007,0.0006,0.0002,0.0001,0.0013,0.0012,0.0001,0.0003
novel,20260516_025834,faceforensics++,novel_20260516_025834.pth,13,0.0007,0.0007,0.0002,0.0001,0.0008,0.0007,0.0001,0.0002
novel,20260516_025834,faceforensics++,novel_20260516_025834.pth,14,0.0004,0.0004,0.0002,0.0000,0.0014,0.0014,0.0002,0.0002
novel,20260516_025834,faceforensics++,novel_20260516_025834.pth,15,0.0004,0.0004,0.0001,0.0001,0.0025,0.0024,0.0002,0.0006
novel,20260516_025834,faceforensics++,novel_20260516_025834.pth,16,0.0007,0.0006,0.0002,0.0001,0.0012,0.0012,0.0004,0.0001
novel,20260516_025834,faceforensics++,novel_20260516_025834.pth,17,0.0004,0.0004,0.0001,0.0001,0.0013,0.0012,0.0001,0.0002
novel,20260516_025834,faceforensics++,novel_20260516_025834.pth,18,0.0005,0.0004,0.0001,0.0001,0.0006,0.0006,0.0000,0.0001
novel,20260516_025834,faceforensics++,novel_20260516_025834.pth,19,0.0004,0.0004,0.0001,0.0001,0.0033,0.0032,0.0009,0.0004
novel,20260516_025834,faceforensics++,novel_20260516_025834.pth,20,0.0005,0.0004,0.0002,0.0001,0.0009,0.0009,0.0002,0.0001
novel,20260516_025834,faceforensics++,novel_20260516_025834.pth,21,0.0005,0.0005,0.0001,0.0001,0.0007,0.0007,0.0001,0.0001
novel,20260516_025834,faceforensics++,novel_20260516_025834.pth,22,0.0001,0.0001,0.0000,0.0000,0.0002,0.0002,0.0000,0.0003
novel,20260516_025834,faceforensics++,novel_20260516_025834.pth,23,0.0003,0.0003,0.0001,0.0001,0.0016,0.0016,0.0002,0.0002
novel,20260516_025834,faceforensics++,novel_20260516_025834.pth,24,0.0003,0.0003,0.0001,0.0001,0.0016,0.0016,0.0003,0.0001
novel,20260516_025834,faceforensics++,novel_20260516_025834.pth,25,0.0001,0.0001,0.0000,0.0000,0.0007,0.0007,0.0000,0.0002
novel,20260516_025834,faceforensics++,novel_20260516_025834.pth,26,0.0002,0.0002,0.0000,0.0000,0.0007,0.0007,0.0000,0.0002
novel,20260516_025834,faceforensics++,novel_20260516_025834.pth,27,0.0005,0.0004,0.0001,0.0001,0.0008,0.0008,0.0002,0.0003
novel,20260516_025834,faceforensics++,novel_20260516_025834.pth,28,0.0002,0.0001,0.0001,0.0000,0.0006,0.0006,0.0000,0.0002
novel,20260516_025834,faceforensics++,novel_20260516_025834.pth,29,0.0003,0.0003,0.0001,0.0001,0.0003,0.0003,0.0001,0.0000
