model,datetime,dataset,weight_file,epoch,train_loss,train_bce,train_pull,train_push,val_loss,val_bce,val_pull,val_push
novel,20260504_222640,faceforensics++,novel_20260504_222640.pth,1,0.6891,0.6891,0.0018,1.4456,0.6890,0.6890,0.0018,1.4446
novel,20260504_222640,faceforensics++,novel_20260504_222640.pth,2,0.6891,0.6891,0.0018,1.4456,0.6890,0.6890,0.0018,1.4446
novel,20260504_222640,faceforensics++,novel_20260504_222640.pth,3,0.6891,0.6891,0.0018,1.4456,0.6890,0.6890,0.0018,1.4446
novel,20260504_222640,faceforensics++,novel_20260504_222640.pth,4,0.0317,0.0309,0.0057,0.0022,0.0071,0.0069,0.0017,0.0005
novel,20260504_222640,faceforensics++,novel_20260504_222640.pth,5,0.0093,0.0091,0.0015,0.0006,0.0034,0.0032,0.0008,0.0006
novel,20260504_222640,faceforensics++,novel_20260504_222640.pth,6,0.0059,0.0058,0.0012,0.0005,0.0035,0.0034,0.0011,0.0001
novel,20260504_222640,faceforensics++,novel_20260504_222640.pth,7,0.0042,0.0040,0.0010,0.0003,0.0019,0.0018,0.0007,0.0001
novel,20260504_222640,faceforensics++,novel_20260504_222640.pth,8,0.0035,0.0034,0.0008,0.0002,0.0030,0.0029,0.0006,0.0002
novel,20260504_222640,faceforensics++,novel_20260504_222640.pth,9,0.0030,0.0029,0.0007,0.0003,0.0007,0.0006,0.0002,0.0001
novel,20260504_222640,faceforensics++,novel_20260504_222640.pth,10,0.0025,0.0024,0.0007,0.0002,0.0009,0.0009,0.0002,0.0001
